MI,ADA,LIQUOR,,BRAND NAME,PROOF,SIZE,PACK,    BASE , LICENSEE , MINIMUM , NEW/ 
,#,CODE,,,,IN ML,SIZE,    PRICE , PRICE , SHELF , CHNG 
,,,,,,,,,, PRICE ,
AMERICAN BLEND,,,,,,,,,,,
,,,,,,,,,,,
,321,16153,,BULLEIT BOURBON,90.0,200,48, 8.91 , 8.48 , 9.99 ,
,321,11687,,BULLEIT BOURBON,90.0,375,12, 14.28 , 13.56 , 15.99 ,
,321,2086,,BULLEIT BOURBON,90.0,750,12, 26.78 , 25.44 , 29.99 , 3.00 
,321,7746,,BULLEIT BOURBON,90.0,1000,12, 34.82 , 33.07 , 38.99 , 1.00 
,321,7747,,BULLEIT BOURBON,90.0,1750,6, 49.11 , 46.64 , 54.99 , (1.00)
,321,73247,,BULLEIT BOURBON W/LEWIS BAG,90.0,750,12, 26.78 , 25.44 , 29.99 , 3.00 
,321,72831,,BULLEIT BOURBON W/2-50ML,90.0,750,12, 26.78 , 25.44 , 29.99 , 3.00 
,321,9425,,BULLEIT BOURBON-10 YR,91.2,750,12, 42.86 , 40.70 , 47.99 ,
,321,73525,,BULLEIT WHISKEY 2PK,90.0,375,6, 26.78 , 25.44 , 29.99 ,
MI,141,18288,,BULLRIDER BOURBON,86.6,750,12, 35.70 , 33.92 , 39.99 , NEW 
,321,10381,,CALUMET FARM,86.0,750,6, 44.62 , 42.37 , 49.96 ,
,321,17566,,CALUMET FARM SINGLE BARREL,92.0,750,6, 49.11 , 46.64 , 54.99 ,
,321,17059,,CALUMET FARM SINGLE RACK-10 YR,92.0,750,6, 49.11 , 46.64 , 54.99 ,
,141,16147,,CH STRAIGHT BOURBON WHISKEY,105.0,750,12, 21.41 , 20.35 , 23.99 ,
,221,16575,,CLEVELAND BLACK RESERVE,100.0,750,6, 31.24 , 29.68 , 34.99 ,
,221,13750,,CLEVELAND UNDERGROUND APPLE,90.0,750,6, 39.28 , 37.31 , 43.99 ,
,221,13751,,CLEVELAND UNDERGROUND BLK CHER,94.0,750,6, 39.28 , 37.31 , 43.99 ,
,221,13752,,CLEVELAND UNDERGROUND HICKORY,94.0,750,6, 39.28 , 37.31 , 43.99 ,
,221,13753,,CLEVELAND UNDERGROUND HONEY,90.0,750,6, 39.28 , 37.31 , 43.99 ,
,221,16576,,CLEVELAND UNDERGROUND MAPLE,92.0,750,6, 39.28 , 37.31 , 43.99 ,
,321,16219,,CLYDE MAY'S STRAIGHT BOURBON,92.0,375,12, 16.03 , 15.22 , 17.95 ,
,321,14275,,CLYDE MAY'S STRAIGHT BOURBON,92.0,750,6, 33.03 , 31.37 , 36.99 ,
,321,12130,,COLONEL E.H. TAYLOR BRRL PROOF,128.1,750,6, 62.49 , 59.37 , 69.99 ,
,321,15668,,COLONEL E.H. TAYLOR FOUR GRAIN,100.0,750,6, 62.49 , 59.37 , 69.99 ,
,321,9690,,COLONEL E.H. TAYLOR SM BATCH,100.0,750,6, 35.70 , 33.92 , 39.99 ,
,321,9254,,COLONEL E.H. TAYLOR SNGL BARRL,100.0,750,6, 53.57 , 50.88 , 59.99 ,
,321,13813,,COLONEL EH TAYLOR SEASON WOOD,100.0,750,6, 62.49 , 59.37 , 69.99 ,
,321,15323,,COLTER'S RUN STRAIGHT BBN WHKY,88.0,750,6, 35.66 , 33.89 , 39.95 ,
